duration_s,evaluation_scope,aligned_mse_improvement_vs_mag_median,aligned_nrmse_std_median,aligned_rmse_median,anchored_rmse_median,bin0_fixed_mean_error_median,bin0_fixed_rmse_median,bin0_fixed_rmse_mse_improvement_vs_mag_median,fixed_aligned_rmse_median,n_logs,stage
5.0,common_core,nan,0.20972410406976363,3.895749496053818,9.309120453847207,2.543334374309395,5.6697476600419705,nan,4.066864296403091,11,mag_model
5.0,full_log,nan,0.23038742020226502,5.397933487561042,9.315385283544892,6.390105615110754,8.980890989475208,nan,5.397933487561042,11,mag_model
5.0,full_log_excluding_training,nan,0.23077487016974219,5.398488847090024,9.265128019948438,6.404118058927453,9.013205963703143,nan,5.398614202317024,11,mag_model
5.0,training_window,nan,0.20972410406976363,3.895749496053818,9.309120453847207,2.543334374309395,5.6697476600419705,nan,4.066864296403091,11,mag_model
5.0,common_core,-0.8960472175407226,0.22257588357302427,4.096616995766782,9.26351293171436,5.061041756985147,6.980364418712066,-5.372085237723585,4.300355069997896,11,fusion1
5.0,full_log,0.7683260065963609,0.23721987477845574,5.370159169381279,8.00240642507224,6.246061205760468,9.22944284830071,2.3163736581634637,5.370159169381279,11,fusion1
5.0,full_log_excluding_training,0.8787686498287641,0.23679032282915394,5.362774008777202,8.012768673388187,6.25820851487972,9.235901067943091,2.217634016044574,5.362949411793618,11,fusion1
5.0,training_window,-0.8960472175407226,0.22257588357302427,4.096616995766782,9.26351293171436,5.061041756985147,6.980364418712066,-5.372085237723585,4.300355069997896,11,fusion1
5.0,common_core,0.4352082546036602,0.1975465963717348,3.9623305749375195,8.260979731794018,3.6300447857637543,5.3144781141778665,1.801450536448984,4.221071905037719,11,nuisance_delta_lifted
5.0,full_log,3.5353724874962467,0.21820575553886382,5.105265427234024,7.737350979996982,6.051433167670923,7.936325504014409,17.66657059327788,5.105265427234024,11,nuisance_delta_lifted
5.0,full_log_excluding_training,3.590363438253192,0.21787266941501351,5.060804962258081,7.743980080186216,6.0628439342521725,7.958300769753698,17.937818757410287,5.061165352154904,11,nuisance_delta_lifted
5.0,training_window,0.4352082546036602,0.1975465963717348,3.9623305749375195,8.260979731794018,3.6300447857637543,5.3144781141778665,1.801450536448984,4.221071905037719,11,nuisance_delta_lifted
5.0,common_core,0.28027006545520194,0.19088615306552303,3.189146396648293,8.16967708377478,2.7645876927220416,5.452767880432215,3.637493917138407,3.604314798646762,11,nuisance_corrected_mag
5.0,full_log,2.2246245168349468,0.21401953766882686,5.007322303277505,8.07184082660068,6.0436146041333805,7.7566920345768064,12.447223548120327,5.007322303277505,11,nuisance_corrected_mag
5.0,full_log_excluding_training,2.2613283219560394,0.2136364750591517,4.962405500431146,8.076534122559503,6.055623966939218,7.777367334697053,12.57534406406711,4.962768411674494,11,nuisance_corrected_mag
5.0,training_window,0.28027006545520194,0.19088615306552303,3.189146396648293,8.16967708377478,2.7645876927220416,5.452767880432215,3.637493917138407,3.604314798646762,11,nuisance_corrected_mag
