trial_id,pipeline,log,repeat,duration_s,trainer,cache_fingerprint,center_s,experiment,source_run_fingerprint,source_trial_id,start_s,stop_s,time_basis
0bcad801c181cf52,front,log-0054,0,120.0,self-supervised,5bdf15b4c737740658d8740b493b105b36abc3a0c5c467a9182c5118471f2ac9,458.2812117149466,solver-window-front-phase1,5bea0f2a1a0f8859fae10f0677c4124e757b551e54e1576787804c52f37e14c2,45273edfb6e2a66e,398.2812117149466,518.2812117149466,active
4ad135b1fa35d244,front,log-0055,0,5.0,self-supervised,a0a6a726f7cb8ca4a2f3ae66e06935e8d2cf15e3cab249980a389eeb93ba35da,74.24001004500975,solver-window-front-phase1,5bea0f2a1a0f8859fae10f0677c4124e757b551e54e1576787804c52f37e14c2,0ca856afceea6b1e,71.74001004500975,76.74001004500975,active
698a26343a428c21,front,log-0055,0,10.0,self-supervised,a0a6a726f7cb8ca4a2f3ae66e06935e8d2cf15e3cab249980a389eeb93ba35da,74.24001004500975,solver-window-front-phase1,5bea0f2a1a0f8859fae10f0677c4124e757b551e54e1576787804c52f37e14c2,fdddcd81981384b6,69.24001004500975,79.24001004500975,active
ff97340de0ec452c,front,log-0055,0,20.0,self-supervised,a0a6a726f7cb8ca4a2f3ae66e06935e8d2cf15e3cab249980a389eeb93ba35da,74.24001004500975,solver-window-front-phase1,5bea0f2a1a0f8859fae10f0677c4124e757b551e54e1576787804c52f37e14c2,91ac1867320b1479,64.24001004500975,84.24001004500975,active
6e3a29bad2ef8211,front,log-0055,0,40.0,self-supervised,a0a6a726f7cb8ca4a2f3ae66e06935e8d2cf15e3cab249980a389eeb93ba35da,74.24001004500975,solver-window-front-phase1,5bea0f2a1a0f8859fae10f0677c4124e757b551e54e1576787804c52f37e14c2,de88210903882d89,54.240010045009754,94.24001004500975,active
9cb765ddcca5d7e5,front,log-0055,0,120.0,self-supervised,a0a6a726f7cb8ca4a2f3ae66e06935e8d2cf15e3cab249980a389eeb93ba35da,74.24001004500975,solver-window-front-phase1,5bea0f2a1a0f8859fae10f0677c4124e757b551e54e1576787804c52f37e14c2,1d034b95633eb9d1,14.240010045009754,134.24001004500974,active
0646c065f0432692,front,log-0056,0,5.0,self-supervised,1e17601331067be542700f3339358efda842174f97c4b99f71176dda028f3697,147.06633792594576,solver-window-front-phase1,5bea0f2a1a0f8859fae10f0677c4124e757b551e54e1576787804c52f37e14c2,5fb4f622c0544daa,144.56633792594576,149.56633792594576,active
36bb757ff7d1f3c9,front,log-0056,0,10.0,self-supervised,1e17601331067be542700f3339358efda842174f97c4b99f71176dda028f3697,147.06633792594576,solver-window-front-phase1,5bea0f2a1a0f8859fae10f0677c4124e757b551e54e1576787804c52f37e14c2,033f78ae4404aee4,142.06633792594576,152.06633792594576,active
c49866be96343045,front,log-0056,0,20.0,self-supervised,1e17601331067be542700f3339358efda842174f97c4b99f71176dda028f3697,147.06633792594576,solver-window-front-phase1,5bea0f2a1a0f8859fae10f0677c4124e757b551e54e1576787804c52f37e14c2,29e377e2e3f324e5,137.06633792594576,157.06633792594576,active
ca587b0936d74226,front,log-0056,0,40.0,self-supervised,1e17601331067be542700f3339358efda842174f97c4b99f71176dda028f3697,147.06633792594576,solver-window-front-phase1,5bea0f2a1a0f8859fae10f0677c4124e757b551e54e1576787804c52f37e14c2,ce024eddf38c2b33,127.06633792594576,167.06633792594576,active
01ba4831989d370f,front,log-0056,0,120.0,self-supervised,1e17601331067be542700f3339358efda842174f97c4b99f71176dda028f3697,147.06633792594576,solver-window-front-phase1,5bea0f2a1a0f8859fae10f0677c4124e757b551e54e1576787804c52f37e14c2,6212bc8afa2d153f,87.06633792594576,207.06633792594576,active
efe637cf59d98854,front,log-0058,0,5.0,self-supervised,72fdbe59efa218f0e2770b27caca55edbb4c043dcbea20d3c4d8ff975c782656,262.0893140046321,solver-window-front-phase1,5bea0f2a1a0f8859fae10f0677c4124e757b551e54e1576787804c52f37e14c2,2389117e0398bf13,259.5893140046321,264.5893140046321,active
9b83e45ab5034640,front,log-0058,0,10.0,self-supervised,72fdbe59efa218f0e2770b27caca55edbb4c043dcbea20d3c4d8ff975c782656,262.0893140046321,solver-window-front-phase1,5bea0f2a1a0f8859fae10f0677c4124e757b551e54e1576787804c52f37e14c2,1dce55ee7ca2e2d4,257.0893140046321,267.0893140046321,active
0f5c7ac11a5e198f,front,log-0058,0,20.0,self-supervised,72fdbe59efa218f0e2770b27caca55edbb4c043dcbea20d3c4d8ff975c782656,262.0893140046321,solver-window-front-phase1,5bea0f2a1a0f8859fae10f0677c4124e757b551e54e1576787804c52f37e14c2,0392ea313cd8d8ad,252.08931400463212,272.0893140046321,active
198f620a2f852627,front,log-0058,0,40.0,self-supervised,72fdbe59efa218f0e2770b27caca55edbb4c043dcbea20d3c4d8ff975c782656,262.0893140046321,solver-window-front-phase1,5bea0f2a1a0f8859fae10f0677c4124e757b551e54e1576787804c52f37e14c2,415907cf1d9ae0cf,242.08931400463212,282.0893140046321,active
f9a4f4081b585df9,front,log-0058,0,120.0,self-supervised,72fdbe59efa218f0e2770b27caca55edbb4c043dcbea20d3c4d8ff975c782656,262.0893140046321,solver-window-front-phase1,5bea0f2a1a0f8859fae10f0677c4124e757b551e54e1576787804c52f37e14c2,d4204f06c51024cf,202.08931400463212,322.0893140046321,active
f51ba88226c08625,front,log-0063,0,5.0,self-supervised,6cb3876e1ac10833a7711e8e50158e9468ce1a682224bd8c7f86d1130d8a54b1,67.37982033024917,solver-window-front-phase1,5bea0f2a1a0f8859fae10f0677c4124e757b551e54e1576787804c52f37e14c2,0d18d80171bfd410,64.87982033024917,69.87982033024917,active
24e1b830025bad65,front,log-0063,0,10.0,self-supervised,6cb3876e1ac10833a7711e8e50158e9468ce1a682224bd8c7f86d1130d8a54b1,67.37982033024917,solver-window-front-phase1,5bea0f2a1a0f8859fae10f0677c4124e757b551e54e1576787804c52f37e14c2,0bb7a7d47b0b0e10,62.379820330249174,72.37982033024917,active
a46b298e9de93b2a,front,log-0063,0,20.0,self-supervised,6cb3876e1ac10833a7711e8e50158e9468ce1a682224bd8c7f86d1130d8a54b1,67.37982033024917,solver-window-front-phase1,5bea0f2a1a0f8859fae10f0677c4124e757b551e54e1576787804c52f37e14c2,be0479ad752aaeb8,57.379820330249174,77.37982033024917,active
b3970fa433c1f40c,front,log-0063,0,40.0,self-supervised,6cb3876e1ac10833a7711e8e50158e9468ce1a682224bd8c7f86d1130d8a54b1,67.37982033024917,solver-window-front-phase1,5bea0f2a1a0f8859fae10f0677c4124e757b551e54e1576787804c52f37e14c2,c44090d4e58eaccd,47.379820330249174,87.37982033024917,active
6aa76020c0224287,front,log-0063,0,120.0,self-supervised,6cb3876e1ac10833a7711e8e50158e9468ce1a682224bd8c7f86d1130d8a54b1,67.37982033024917,solver-window-front-phase1,5bea0f2a1a0f8859fae10f0677c4124e757b551e54e1576787804c52f37e14c2,27a183f4370263d9,7.379820330249174,127.37982033024917,active
b497a13c0bb5a938,front,log-0071_183,0,5.0,self-supervised,b959d8095113db1364b9d8afa5d7b414d97285a8a42e6a4aa46768de4a48a7f2,60.62404553611126,solver-window-front-phase1,5bea0f2a1a0f8859fae10f0677c4124e757b551e54e1576787804c52f37e14c2,24383996a6f62ae6,58.12404553611126,63.12404553611126,active
8716e9273847095e,front,log-0071_183,0,10.0,self-supervised,b959d8095113db1364b9d8afa5d7b414d97285a8a42e6a4aa46768de4a48a7f2,60.62404553611126,solver-window-front-phase1,5bea0f2a1a0f8859fae10f0677c4124e757b551e54e1576787804c52f37e14c2,f0a2d83c418b730f,55.62404553611126,65.62404553611125,active
