pipeline,log,duration_s,trainer,evaluation_scope,aligned_mae_mean,aligned_mae_median,aligned_mae_std,aligned_nrmse_p90_mean,aligned_nrmse_p90_median,aligned_nrmse_p90_std,aligned_nrmse_std_mean,aligned_nrmse_std_median,aligned_nrmse_std_std,aligned_rmse_mean,aligned_rmse_median,aligned_rmse_std,anchored_mae_mean,anchored_mae_median,anchored_mae_std,anchored_nrmse_std_mean,anchored_nrmse_std_median,anchored_nrmse_std_std,anchored_rmse_mean,anchored_rmse_median,anchored_rmse_std,bin_occupied_rmse_mean,bin_occupied_rmse_median,bin_occupied_rmse_std,bin_rmse_mean,bin_rmse_median,bin_rmse_std,completed_trials,completion_rate,correlation_mean,correlation_median,correlation_std,failed_trials,failure_rate,fixed_aligned_nrmse_std_mean,fixed_aligned_nrmse_std_median,fixed_aligned_nrmse_std_std,fixed_aligned_rmse_mean,fixed_aligned_rmse_median,fixed_aligned_rmse_std,prediction_std_mean,prediction_std_median,prediction_std_std,prediction_to_travel_std_mean,prediction_to_travel_std_median,prediction_to_travel_std_std,scheduled_trials,successful_trials,training_observations_mean,training_observations_median,training_observations_std,travel_p90_span_mean,travel_p90_span_median,travel_p90_span_std,travel_range_mean,travel_range_median,travel_range_std,travel_std_mean,travel_std_median,travel_std_std
front,log-0046,10.0,oracle-power,full_log,1.8975466860081962,1.8364789908187236,0.1720108983886114,0.04331016378926218,0.041399939212212314,0.004785713636880183,0.14288604100504357,0.13658395384201003,0.01578871135849166,2.9388380403074366,2.8092185662301725,0.32473756863437464,1.9619626276728304,1.8369079982664749,0.2295276347444654,0.1461364600517183,0.1410372054964921,0.016631514731772004,3.0056917026674315,2.900811735676249,0.34207210038060915,4.107430774608579,3.7932877157937126,0.9679543088495829,3.782513446008312,3.5714717019484095,0.5992047483645493,20,1.0,0.9903918588138738,0.9911493052489218,0.0018191502029067308,0,0.0,0.14288604100504357,0.13658395384201003,0.01578871135849166,2.9388380403074366,2.8092185662301725,0.32473756863437464,20.34892294600442,20.070067722752075,0.8092958270970328,0.9893628020981697,0.9758048862424402,0.039347890271523876,20,20,975.95,976.0,0.22360679774997902,67.85562055611665,67.85562055611663,1.4580029302424492e-14,165.89980059488886,165.8998005948889,2.9160058604848984e-14,20.56770570194259,20.567705701942586,3.645007325606123e-15
front,log-0048,10.0,oracle-power,full_log,2.2520830588447183,2.211324132061298,0.1644918940736905,0.04624306699181723,0.04427659710064259,0.005084095313319969,0.16011858834932496,0.15330960262478271,0.01760389648779699,3.593088585273101,3.4402937777722675,0.3950344565156745,2.3546388215765397,2.257972602316646,0.3704039796556481,0.16757327714950468,0.1561922851190879,0.023617302172979675,3.760373080538899,3.5049816673673058,0.529976311479495,4.550562143498944,4.3931357181706545,0.8661114360328035,4.550562143498944,4.3931357181706545,0.8661114360328035,20,1.0,0.9882895007608502,0.9889190057050901,0.002041198122281708,0,0.0,0.16011858834932496,0.15330960262478271,0.01760389648779699,3.593088585273101,3.4402937777722675,0.3950344565156745,22.653591575459323,22.577513199048994,1.0555160495403473,1.0095106251962918,1.0061203491299961,0.04703689759422137,20,20,976.1,976.0,0.4472135954999579,77.7000493048807,77.70004930488071,1.4580029302424492e-14,147.02804677703884,147.0280467770388,2.9160058604848984e-14,22.440171514841165,22.44017151484117,3.645007325606123e-15
front,log-0049,10.0,oracle-power,full_log,2.814143197285264,2.874206977009674,0.309412632019183,0.05280111850013939,0.053932982216555556,0.004307131882793371,0.17543035882705588,0.17919094692735704,0.014310334954588121,4.251480263461451,4.342616519434111,0.3468048918655622,2.6030540125770587,2.476927548650623,0.4120941142528374,0.18445754297271316,0.18516629481207536,0.01832099225951534,4.470250238547284,4.48742653845847,0.4440014688401048,4.7515900408355325,4.527884543409339,1.0687882242014342,4.50997335174113,4.543863685638348,0.49345305830052255,20,1.0,0.9873888584662751,0.9877324401978331,0.00199907713560192,0,0.0,0.17543035882705588,0.17919094692735704,0.014310334954588121,4.251480263461451,4.342616519434111,0.3468048918655622,22.66901240119427,22.02672346731019,1.421831261334886,0.9353996098663883,0.9088966106380226,0.05866953458803612,20,20,976.1,976.0,0.8522416262267904,80.5187538489403,80.51875384894029,1.4580029302424492e-14,128.68361647506669,128.6836164750667,2.9160058604848984e-14,24.23457542860456,24.23457542860456,0.0
front,log-0054,10.0,oracle-power,full_log,2.4204658021933336,2.382961022881025,0.12588349185784398,0.05346571722098623,0.05214211907764657,0.004572133556128358,0.17828180064800253,0.17386825356410918,0.015245810690626376,3.198488169203312,3.1193063453674266,0.2735194784136155,2.647108232701954,2.6197849051522484,0.26324309304544036,0.19882071089220718,0.1959484973343853,0.018827067974032094,3.5669691985940895,3.5154398722650555,0.3377694972613735,6.078583742909585,4.245655206149102,3.9857785424195855,3.886339121619175,3.5381196082441337,0.9954021295554965,20,1.0,0.9847936015556723,0.9854737640816191,0.002674516547979637,0,0.0,0.17828180064800253,0.17386825356410918,0.015245810690626376,3.198488169203312,3.1193063453674266,0.2735194784136155,17.44460201113072,17.201367645942142,0.7498917903438616,0.9723515903786542,0.9587938536257636,0.041798515924152464,20,20,975.95,976.0,0.3940344628262062,59.823160250207,59.82316025020701,7.290014651212246e-15,135.8929688934449,135.89296889344487,2.9160058604848984e-14,17.940631952211263,17.94063195221126,3.645007325606123e-15
front,log-0055,10.0,oracle-power,full_log,2.7010108440343887,2.6605232133667664,0.11749078283596433,0.046640313049331264,0.04548481053333348,0.0036967764280723845,0.16082873369213152,0.1568442405728543,0.012747510314541664,3.812068917127526,3.717625828372123,0.30214991267573654,2.8030234531581635,2.7445337883394325,0.20964384870527644,0.1649186263154113,0.15921814171171206,0.015445643885659366,3.90901025457186,3.7738936017732136,0.36610285743003135,4.726831157566694,3.796805726577605,1.9002626711230404,3.916912577941549,3.7097847205647385,0.42512342110337165,20,1.0,0.987286398579184,0.9881320783646124,0.002277051833660937,0,0.0,0.16082873369213152,0.1568442405728543,0.012747510314541664,3.812068917127526,3.717625828372123,0.30214991267573654,23.24986789521748,23.093645367737086,0.6410140250258822,0.9808969599937797,0.9743060321236224,0.02704396907952337,20,20,975.95,976.0,0.22360679774997896,81.73334756770427,81.73334756770429,1.4580029302424492e-14,144.98409225186288,144.98409225186288,0.0,23.70266077220274,23.702660772202737,3.645007325606123e-15
front,log-0056,10.0,oracle-power,full_log,2.7396054436175596,2.6830894649138672,0.3063243906090636,0.05068116262570631,0.048873508846826785,0.0057624774896223325,0.17462307876726924,0.168394767263359,0.019854745006471976,3.933332877917023,3.793042014961337,0.44722222210213936,2.9117670938240905,2.766256248584952,0.4462881245119223,0.18358766111677358,0.1800692155435423,0.021231830392387005,4.135257427300866,4.0560054879235015,0.47824066057176207,5.241002495343688,4.591655618760397,1.451490905217065,4.340150547249232,4.224720460722129,0.49286477868846285,20,1.0,0.9850745161172154,0.9859659151858685,0.003979138817443236,0,0.0,0.17462307876726924,0.168394767263359,0.019854745006471976,3.933332877917023,3.793042014961337,0.44722222210213936,22.060337366289907,22.16382698036808,0.8390944132258084,0.9793841887051802,0.983978682889038,0.03725218646927777,20,20,976.05,976.0,0.3940344628262062,77.60936557366924,77.60936557366922,1.4580029302424492e-14,148.73146404505894,148.7314640450589,2.9160058604848984e-14,22.52470238002855,22.524702380028554,3.645007325606123e-15
front,log-0058,10.0,oracle-power,full_log,2.737519536719713,2.5955793865505674,0.3638870883512891,0.050526508474011876,0.04760748655374006,0.008244138431533644,0.17351583301192908,0.16349146094718287,0.02831164453306693,4.059674691741754,3.825138806079635,0.662395268474312,3.0051123637367563,3.057027704503345,0.42684574685259175,0.18701614611714756,0.18128059027845078,0.02932500222396843,4.375535662423763,4.241343349957221,0.6861043588784819,6.29568969566556,4.811732579869981,3.515318996871601,6.29568969566556,4.811732579869981,3.515318996871601,20,1.0,0.9864144753378064,0.9879075686047092,0.0031102083967794107,0,0.0,0.17351583301192908,0.16349146094718287,0.02831164453306693,4.059674691741754,3.825138806079635,0.662395268474312,23.679035535249586,23.76048751795475,1.3606887606899056,1.0120731062949082,1.015554471109264,0.058157626339213404,20,20,975.9,976.0,0.3077935056255462,80.3474218652934,80.3474218652934,0.0,161.1697294857218,161.1697294857218,0.0,23.396566303333564,23.39656630333357,7.290014651212246e-15
front,log-0063,10.0,oracle-power,full_log,2.9343262711293066,2.464136296542665,1.775288597507985,0.05204042798309253,0.04363517070408663,0.03427631729975209,0.16102836929024394,0.13502003450977274,0.10606099323101802,4.42085983054148,3.7068291103829902,2.9117899326000742,2.7869266070130325,2.440638482119596,1.2949364023829126,0.16679446725966274,0.1370542769415467,0.11978168277293626,4.579161817975907,3.7626770376261898,3.288476633897197,5.3192046824363475,3.810064900945145,2.94169254736567,4.551162809434752,3.8675774975434396,3.0351661456766563,20,1.0,0.9890167189986565,0.9908985318430732,0.011072326357547943,0,0.0,0.16102836929024394,0.13502003450977274,0.10606099323101802,4.42085983054148,3.7068291103829902,2.9117899326000742,28.17039037267109,27.243105576315195,2.99606197077189,1.0260972294670563,0.9923211849082004,0.1091305745802893,20,20,976.0,976.0,0.6488856845230502,84.9504894920883,84.9504894920883,0.0,153.67050225201808,153.67050225201805,2.9160058604848984e-14,27.453919144974673,27.453919144974673,0.0
front,log-0071_183,10.0,oracle-power,full_log,1.9517624018143067,1.7612793714810138,0.4109956936589852,0.03595800944348128,0.0322656818725371,0.007614311182192141,0.12603382105795602,0.1130921104469951,0.026688372016932433,2.849112341998431,2.5565528756683156,0.6033155978530714,2.0671163498154317,1.884701101868571,0.4347651232560669,0.1319254148573985,0.12238586952790624,0.026151105028025517,2.982297327323236,2.766646987540142,0.5911701753292303,5.006089029429687,3.763475495544161,3.8406729968366347,3.235907636469598,2.643865867723034,1.4557353864694624,20,1.0,0.9925403293934091,0.9937878120050898,0.002384828807908939,0,0.0,0.12603382105795602,0.1130921104469951,0.026688372016932433,2.849112341998431,2.5565528756683156,0.6033155978530714,22.781383709749186,22.43057725981909,0.8500082537234122,1.0077611877926942,0.9922428536488552,0.03760111055235505,20,20,975.95,976.0,0.22360679774997902,79.2344288822956,79.23442888229562,1.4580029302424492e-14,152.4462174422029,152.4462174422029,0.0,22.60593480450205,22.605934804502045,3.645007325606123e-15
front,log-0072_184,10.0,oracle-power,full_log,1.925769934544442,1.8288132632464191,0.20045875737806873,0.03788612768846795,0.03585734552829255,0.00453014660864661,0.12510972779478288,0.11841016784234898,0.014959708042444052,2.68344430839302,2.539747280671998,0.32086668326515044,2.0734355053067364,2.006020733725901,0.25339918395156424,0.13330003361486947,0.12569563194472513,0.017820158900011047,2.8591159362056917,2.696011206140615,0.3822197107912497,3.031497057509623,2.775587094426984,0.4352604200311104,2.794315888929236,2.6160907553949464,0.3817364795207695,20,1.0,0.9926691486872059,0.993155639994818,0.0012460339187715785,0,0.0,0.12510972779478288,0.11841016784234898,0.014959708042444052,2.68344430839302,2.539747280671998,0.32086668326515044,21.376372135081702,21.1364257186243,0.7678481115018175,0.9966266453510307,0.9854396679450057,0.03579924051982996,20,20,976.1,976.0,0.718184846459608,70.82920509740634,70.82920509740632,2.9160058604848984e-14,152.19039707482895,152.19039707482895,0.0,21.44872629564559,21.448726295645585,3.645007325606123e-15
