baseline_trainer,comparison,fraction_baseline_better,median_delta_mm,pairs,transfer_trainer
self-supervised,transfer minus target self-supervised diagonal,0.4,-0.10783588528746346,30,self-supervised
oracle-power,transfer minus target oracle-power diagonal,1.0,0.9054222300157417,30,oracle-power
self-supervised,transfer minus target self-supervised diagonal,0.06666666666666667,-1.413856539775085,30,oracle-power
oracle-binned-median,transfer minus target oracle-binned-median diagonal,0.9666666666666667,0.8214444623495818,30,oracle-binned-median
self-supervised,transfer minus target self-supervised diagonal,0.16666666666666666,-1.7236349436739227,30,oracle-binned-median
