trainer,aligned_nrmse_std_source_median,aligned_rmse_source_median,anchored_rmse_source_median,pair_type,source_logs
self-supervised,0.36983824012794453,10.32667214584152,15.970771253199393,diagonal,6
self-supervised,0.32574622443375956,9.06343978036273,14.802956389550456,transfer,6
oracle-power,0.27638801895419296,7.690272959990299,7.690272959990299,diagonal,6
oracle-power,0.322247526064644,8.755321045732735,9.53677208860281,transfer,6
oracle-binned-median,0.26687290016296755,7.424622802901471,7.495197110170595,diagonal,6
oracle-binned-median,0.297289010150832,8.20057128184067,9.374833029836225,transfer,6
