pipeline,log,duration_s,trainer,evaluation_scope,aligned_mae_mean,aligned_mae_median,aligned_mae_std,aligned_nrmse_p90_mean,aligned_nrmse_p90_median,aligned_nrmse_p90_std,aligned_nrmse_std_mean,aligned_nrmse_std_median,aligned_nrmse_std_std,aligned_rmse_mean,aligned_rmse_median,aligned_rmse_std,anchored_mae_mean,anchored_mae_median,anchored_mae_std,anchored_nrmse_std_mean,anchored_nrmse_std_median,anchored_nrmse_std_std,anchored_rmse_mean,anchored_rmse_median,anchored_rmse_std,bin_occupied_rmse_mean,bin_occupied_rmse_median,bin_occupied_rmse_std,bin_rmse_mean,bin_rmse_median,bin_rmse_std,completed_trials,completion_rate,correlation_mean,correlation_median,correlation_std,failed_trials,failure_rate,fixed_aligned_nrmse_std_mean,fixed_aligned_nrmse_std_median,fixed_aligned_nrmse_std_std,fixed_aligned_rmse_mean,fixed_aligned_rmse_median,fixed_aligned_rmse_std,prediction_std_mean,prediction_std_median,prediction_std_std,prediction_to_travel_std_mean,prediction_to_travel_std_median,prediction_to_travel_std_std,scheduled_trials,successful_trials,training_observations_mean,training_observations_median,training_observations_std,travel_p90_span_mean,travel_p90_span_median,travel_p90_span_std,travel_range_mean,travel_range_median,travel_range_std,travel_std_mean,travel_std_median,travel_std_std
front,log-0046,1.0,oracle-power,full_log,5.449636560594918,2.7486800945559633,7.393732510028614,0.15223904494682894,0.06517724729050185,0.2557031240089689,0.5022570342768922,0.21502848325074797,0.8435989122562888,10.330274867737607,4.422642561036475,17.35089415776623,5.091934043692478,3.2370482619677103,5.451719720047285,0.5432127449870795,0.22191175767006627,0.8847157686009987,11.17263987243864,4.564215723558724,18.196573558453277,46.90916334347233,6.024885162331486,106.12891646571032,15.088102689030901,6.263063801374145,26.84593201461099,10,1.0,0.9459104215730629,0.9793278707689741,0.07569722163669626,0,0.0,0.5022570342768922,0.21502848325074797,0.8435989122562888,10.330274867737607,4.422642561036475,17.35089415776623,25.395382065815674,19.76975414325805,16.9166452810061,1.2347211902889645,0.9612036670376332,0.8224857709534589,10,10,97.5,97.5,0.5270462766947299,67.85562055611663,67.85562055611663,0.0,165.89980059488886,165.8998005948889,2.995911226518785e-14,20.56770570194259,20.567705701942586,3.744889033148481e-15
front,log-0048,1.0,oracle-power,full_log,11.213794025531945,2.5974494326487534,15.275743138342483,0.30644174432732757,0.051971796900819205,0.45663105893752104,1.061067587097519,0.17995455957126544,1.5811044835428214,23.810538643306998,4.038211181656898,35.48025579358527,9.434298600023459,3.0494565121114316,11.409444705155328,1.129436360151815,0.203928096367519,1.6622327533426402,25.34474563690465,4.576181459182184,37.300788082595524,119.78987744027673,7.280071267302611,206.91923771155476,119.78987744027673,7.280071267302611,206.91923771155476,10,1.0,0.9083825330849837,0.9841489266151706,0.11808817325299516,0,0.0,1.061067587097519,0.17995455957126544,1.5811044835428214,23.810538643306998,4.038211181656898,35.48025579358527,40.20545388511506,22.7958157200295,34.41647859898846,1.7916731990450494,1.0158485511108113,1.5336994450433041,10,10,97.8,98.0,0.4216370213557839,77.70004930488071,77.70004930488071,0.0,147.0280467770388,147.0280467770388,0.0,22.440171514841165,22.44017151484117,3.744889033148481e-15
front,log-0049,1.0,oracle-power,full_log,6.358006435306859,4.388035862424466,5.250298102328808,0.12895684076646757,0.07568492529583114,0.13387979902719185,0.428455788276629,0.25146121861815346,0.4448121905404787,10.383444118812193,6.094055869970462,10.779834583216056,5.547344440819269,4.174848270563933,4.279769514714676,0.47288794474636964,0.2892583024437298,0.4777613481820258,11.46023856623368,7.01005214892268,11.578343429389113,40.009146102705145,7.804930662891389,70.89287988857711,17.96740967456332,7.449158949770231,26.656700859363987,10,1.0,0.9357681161023285,0.9705371901751781,0.07314824081308996,0,0.0,0.428455788276629,0.25146121861815346,0.4448121905404787,10.383444118812193,6.094055869970462,10.779834583216056,25.307090338272264,22.597546060087872,10.925862521892054,1.0442555683646015,0.9324506685359766,0.45083779388171324,10,10,97.7,98.0,0.4830458915396479,80.51875384894029,80.51875384894029,0.0,128.68361647506669,128.6836164750667,2.995911226518785e-14,24.23457542860456,24.23457542860456,0.0
front,log-0054,1.0,oracle-power,full_log,4.279043621519824,4.485111129345928,1.165280680233614,0.14762619016442752,0.12334237191252492,0.09413233827170331,0.4922605432661788,0.4112859848091444,0.3138849273623675,8.831465231334082,7.378730480563611,5.631293957154802,4.732838406253402,4.880417220677444,1.124683088628812,0.5408941319879543,0.4654356166177419,0.31456898781595577,9.703982547106666,8.35020909518941,5.643566433985691,79.9788824031583,44.6201123474671,106.62265038739257,21.538231214433118,16.79207429281253,19.343656779007397,10,1.0,0.9122492385453643,0.9451291396237611,0.08984336946443959,0,0.0,0.4922605432661788,0.4112859848091444,0.3138849273623675,8.831465231334082,7.378730480563611,5.631293957154802,21.083677648655495,20.962835374268582,4.689811881905322,1.1751914706692836,1.1684557952087538,0.261407284559298,10,10,97.5,97.5,0.5270462766947299,59.82316025020701,59.82316025020701,0.0,135.8929688934449,135.89296889344487,2.995911226518785e-14,17.940631952211255,17.94063195221126,3.744889033148481e-15
front,log-0055,1.0,oracle-power,full_log,3.0681830381030717,2.980581467607508,0.37347445210168057,0.05444146965379497,0.05366114831729134,0.00756481986496875,0.1877292850821462,0.1850385207150611,0.0260855967712989,4.44968356131025,4.385905286299303,0.6182980513105647,3.4233836541241933,3.304803156818381,0.6247581522362736,0.20330721886974118,0.20068361859783473,0.03292180960754391,4.818922041409449,4.756735734162593,0.7803344851346582,6.52637746833522,4.880745976219091,4.533214587729285,4.991453516926995,4.477278669296089,1.7010035499399174,10,1.0,0.9847982494142868,0.984697749689886,0.0021507400921056963,0,0.0,0.1877292850821462,0.1850385207150611,0.0260855967712989,4.44968356131025,4.385905286299303,0.6182980513105647,23.981378192934404,23.546766204159198,1.7311231448415179,1.0117589085634864,0.993422908527368,0.07303497111479103,10,10,97.5,97.5,0.5270462766947299,81.73334756770429,81.73334756770429,0.0,144.98409225186288,144.98409225186288,0.0,23.702660772202737,23.702660772202737,0.0
front,log-0056,1.0,oracle-power,full_log,3.8245861904447174,2.9178218567995593,1.5610251627359102,0.0707769006885563,0.05423280985812488,0.028993473252966025,0.2438633934883753,0.1868603587010489,0.09989766022102656,5.492950359709448,4.208973966366505,2.2501650649398406,3.9120936504217596,3.425738425841624,1.3881364293631389,0.26969436348396203,0.21085622019826755,0.12066641250496189,6.074785271047485,4.749473604943742,2.717975028940022,10.897791492785764,6.303296236290153,10.55580510443686,6.5967388885677405,4.7880558984450445,3.58529003865321,10,1.0,0.9677549956820188,0.9836891466344796,0.02724761672599469,0,0.0,0.2438633934883753,0.1868603587010489,0.09989766022102656,5.492950359709448,4.208973966366505,2.2501650649398406,21.190513895481455,21.152214962963626,1.8462258625281593,0.9407677641179377,0.9390674560796044,0.0819644953073879,10,10,97.5,97.5,0.5270462766947299,77.60936557366924,77.60936557366922,1.4979556132593925e-14,148.73146404505889,148.7314640450589,2.995911226518785e-14,22.52470238002855,22.524702380028554,3.744889033148481e-15
front,log-0058,1.0,oracle-power,full_log,3.042397577977561,2.736833408321412,0.622592522927058,0.05565291487153652,0.04819181875716131,0.014152799468479676,0.19112070426246658,0.16549814797335022,0.04860289902056336,4.471568229216606,3.872088392137399,1.1371409494688367,3.385071507294964,3.153755935582825,0.7132049940497178,0.2127117733278275,0.19032007902661113,0.05627447303832399,4.976725108164178,4.452836347801792,1.3166294396263047,7.499703473872664,5.279725015836112,5.202973260514636,7.499703473872664,5.279725015836112,5.202973260514636,10,1.0,0.9832412058487527,0.9875745268304513,0.008069481093554067,0,0.0,0.19112070426246658,0.16549814797335022,0.04860289902056336,4.471568229216606,3.872088392137399,1.1371409494688367,23.16140281955936,23.105030974730745,1.7922815755512738,0.9899488035669275,0.9875393968147674,0.0766044706011372,10,10,97.6,98.0,0.5163977794943222,80.3474218652934,80.3474218652934,0.0,161.1697294857218,161.1697294857218,0.0,23.39656630333357,23.39656630333357,0.0
front,log-0063,1.0,oracle-power,full_log,12.031956390161033,9.58556701988415,12.357497766408219,0.1985826700831728,0.14974908802330178,0.2198449529672729,0.6144731081609283,0.46336766205934854,0.6802648564787339,16.869695028211403,12.721258328573304,18.675936366934963,16.53134790639651,8.125882999380373,17.012860436053096,0.8525172988517413,0.5203274554222086,0.9041885857153611,23.404940992367916,14.285027890071728,24.82352032403853,36.890343958357576,12.659846004313952,65.6288627374606,20.334564586505383,14.077462776254855,24.89913405243005,10,1.0,0.9535660762268472,0.9511343357130473,0.03734933800335109,0,0.0,0.6144731081609283,0.46336766205934854,0.6802648564787339,16.869695028211403,12.721258328573304,18.675936366934963,28.480433978397922,25.39033655596777,23.69564056873876,1.03739046611169,0.9248346810482746,0.8631059355719036,10,10,97.4,97.0,0.5163977794943222,84.9504894920883,84.9504894920883,0.0,153.67050225201803,153.67050225201805,2.995911226518785e-14,27.453919144974673,27.453919144974673,0.0
front,log-0071_183,1.0,oracle-power,full_log,2.96221771884699,2.2083418831131296,1.5453146719195263,0.05750562930539872,0.039732376498102816,0.03335289492510119,0.20155882669460956,0.13926308233608425,0.1169028223701374,4.55642569553027,3.1481721599635213,2.6426975809616087,3.1332043386948056,2.7429401909533997,1.5110838016088453,0.22286164212131299,0.165672450557749,0.13435325667779563,5.037995752218667,3.7451806162105625,3.037180961230777,14.160113384892753,6.611395127655037,17.01238338272419,7.074511608522653,4.30388793162277,6.476283050706474,10,1.0,0.9839337356751606,0.9914246530377613,0.016150331790193824,0,0.0,0.20155882669460956,0.13926308233608425,0.1169028223701374,4.55642569553027,3.1481721599635213,2.6426975809616087,24.242647188162117,23.170646496197215,2.521241075188637,1.0724018890532285,1.0249806830188108,0.11153005159895109,10,10,97.3,97.0,0.48304589153964794,79.2344288822956,79.23442888229562,1.4979556132593925e-14,152.4462174422029,152.4462174422029,0.0,22.60593480450205,22.605934804502045,3.744889033148481e-15
front,log-0072_184,1.0,oracle-power,full_log,2.2369945972698297,1.8721153792051548,0.668216023805348,0.04433759289875159,0.03636132161566517,0.014526352254859482,0.1464141235085148,0.12007442637055589,0.04796974743369695,3.140396460950982,2.5754435063287016,1.0288899831766132,2.4144657062155797,2.0728337967341455,0.7652882396276555,0.1560886547373963,0.1316261774167678,0.0500748161949531,3.3479028333179373,2.8232138527543382,1.0740410268703102,5.377437763289476,3.001611682598882,4.704071172358674,3.6943954511478543,2.680112699215619,2.0499621497305696,10,1.0,0.9907160027217043,0.9930571502506027,0.006033837853105408,0,0.0,0.1464141235085148,0.12007442637055589,0.04796974743369695,3.140396460950982,2.5754435063287016,1.0288899831766132,21.573788022970767,20.917071143806865,1.5831096737833539,1.0058307297879305,0.9752127401641256,0.07380902958814615,10,10,97.8,98.0,0.6324555320336759,70.82920509740632,70.82920509740632,0.0,152.19039707482895,152.19039707482895,0.0,21.44872629564559,21.448726295645585,3.744889033148481e-15
