trial_id,pipeline,log,repeat,duration_s,trainer,status,available_s,cache_fingerprint,center_s,error,error_type,experiment,random_fraction,start_s,stop_s,time_basis
3858959b51c4ca59,front,log-0055,1,1.0,self-supervised,failed,238.81,a0a6a726f7cb8ca4a2f3ae66e06935e8d2cf15e3cab249980a389eeb93ba35da,141.38225142078917,No training chunks available for mag-to-travel fit,ValueError,random-window-front-v1-shorter,0.5939961995671236,140.88225142078917,141.88225142078917,active
36d39467caee799a,front,log-0055,7,1.0,self-supervised,failed,238.81,a0a6a726f7cb8ca4a2f3ae66e06935e8d2cf15e3cab249980a389eeb93ba35da,139.99205452029094,No training chunks available for mag-to-travel fit,ValueError,random-window-front-v1-shorter,0.5880503593528547,139.49205452029094,140.49205452029094,active
b28d09a7eec7877f,front,log-0056,5,1.0,self-supervised,failed,292.96000000000004,1e17601331067be542700f3339358efda842174f97c4b99f71176dda028f3697,181.03875662604477,No training chunks available for mag-to-travel fit,ValueError,random-window-front-v1-shorter,0.6200123511114208,180.53875662604477,181.53875662604477,active
01cb406759029919,front,log-0056,6,1.0,self-supervised,failed,292.96000000000004,1e17601331067be542700f3339358efda842174f97c4b99f71176dda028f3697,230.6959311854944,No training chunks available for mag-to-travel fit,ValueError,random-window-front-v1-shorter,0.7924570467616835,230.1959311854944,231.1959311854944,active
89518f4eb031ae5e,front,log-0056,9,1.0,self-supervised,failed,292.96000000000004,1e17601331067be542700f3339358efda842174f97c4b99f71176dda028f3697,168.04258900355734,No training chunks available for mag-to-travel fit,ValueError,random-window-front-v1-shorter,0.5748805007763486,167.54258900355734,168.54258900355734,active
c3d1b3a89bf2548e,front,log-0056,9,2.0,self-supervised,failed,292.96000000000004,1e17601331067be542700f3339358efda842174f97c4b99f71176dda028f3697,168.04258900355734,No training chunks available for mag-to-travel fit,ValueError,random-window-front-v1-shorter,0.5748805007763486,167.04258900355734,169.04258900355734,active
99587c64f71ed03d,front,log-0063,0,1.0,self-supervised,failed,127.45000000000009,6cb3876e1ac10833a7711e8e50158e9468ce1a682224bd8c7f86d1130d8a54b1,123.79650999181239,No training chunks available for mag-to-travel fit,ValueError,random-window-front-v1-shorter,0.9905799101005496,123.29650999181239,124.29650999181239,active
43df2ee1cb165421,front,log-0063,0,2.0,self-supervised,failed,127.45000000000009,6cb3876e1ac10833a7711e8e50158e9468ce1a682224bd8c7f86d1130d8a54b1,123.79650999181239,No training chunks available for mag-to-travel fit,ValueError,random-window-front-v1-shorter,0.9905799101005496,122.79650999181239,124.79650999181239,active
0027f6a0ac78be4b,front,log-0063,0,3.0,self-supervised,failed,127.45000000000009,6cb3876e1ac10833a7711e8e50158e9468ce1a682224bd8c7f86d1130d8a54b1,123.79650999181239,No training chunks available for mag-to-travel fit,ValueError,random-window-front-v1-shorter,0.9905799101005496,122.29650999181239,125.29650999181239,active
35b53aedd279f208,front,log-0063,0,4.0,self-supervised,failed,127.45000000000009,6cb3876e1ac10833a7711e8e50158e9468ce1a682224bd8c7f86d1130d8a54b1,123.79650999181239,No training chunks available for mag-to-travel fit,ValueError,random-window-front-v1-shorter,0.9905799101005496,121.79650999181239,125.79650999181239,active
