trainer,train_setup,eval_setup,transfer_type,source_logs,target_logs,source_units,target_units,pairs,aligned_rmse_transfer_median,aligned_rmse_target_diagonal_median,aligned_rmse_delta_median,aligned_rmse_delta_ci_low,aligned_rmse_delta_ci_high,aligned_rmse_fraction_worse,aligned_nrmse_std_transfer_median,aligned_nrmse_std_target_diagonal_median,aligned_nrmse_std_delta_median,aligned_nrmse_std_delta_ci_low,aligned_nrmse_std_delta_ci_high,aligned_nrmse_std_fraction_worse,anchored_rmse_transfer_median,anchored_rmse_target_diagonal_median,anchored_rmse_delta_median,anchored_rmse_delta_ci_low,anchored_rmse_delta_ci_high,anchored_rmse_fraction_worse
self-supervised,stumpjumper_pod_v2,stumpjumper_pod_v2,same_setup,11,11,11,11,110,4.160824859537099,3.814183491079863,0.15571602053414724,-0.3806529385088626,0.6668366111793875,0.5545454545454546,0.18479096791187166,0.1748420399352388,0.007698884526693248,-0.01913156983857442,0.030429642132081408,0.5545454545454546,4.649594053710836,4.625381742210358,-0.017222180361923467,-0.3951580633354643,0.7274003054716873,0.4909090909090909
self-supervised,stumpjumper_pod_v2,tr11_pod_v2,cross_setup,11,6,11,6,66,19.777983129505273,10.39832537707019,10.25287545208036,2.56644693782786,12.412682170357572,1.0,0.7572772865544886,0.375292144022985,0.37064469606720296,0.12332796752996111,0.4612697829653678,1.0,43.04899915964295,11.463864258774727,32.09983844651444,22.153308726529307,36.12058080203439,1.0
self-supervised,stumpjumper_pod_v2,tr11_2025_pod_v2,cross_setup,11,14,11,14,154,20.769673427550103,7.259130691440522,12.455256571683373,10.636419508921648,15.124862026287579,1.0,0.6441799603243974,0.23342967709492773,0.4133680775441086,0.36095785115783624,0.4416227721042195,1.0,25.408950136366123,12.37540479737433,13.973778075541645,7.825705575718251,22.295375672629184,1.0
self-supervised,stumpjumper_pod_v2,slayer_pod_v2,cross_setup,11,7,11,5,77,9.941471968818302,8.867546008779039,2.44626964918732,0.37809375660645195,8.876858334920612,1.0,0.5879311138104496,0.4883082386344521,0.12414377368760371,0.028789146689716143,0.33280996566603005,1.0,27.299123167974358,13.398833742613762,14.96122455078843,4.568472571823593,18.504638522972037,1.0
self-supervised,tr11_pod_v2,stumpjumper_pod_v2,cross_setup,6,11,6,11,66,49.679948423013656,3.814183491079863,45.86576493193379,35.39569165697756,55.79627311144211,1.0,2.3151006980269973,0.1748420399352388,2.1414817479914507,1.6614227601860025,2.578434743869062,1.0,98.97624154418338,4.625381742210358,94.54952926867972,61.92347692737323,128.64146122263816,1.0
self-supervised,tr11_pod_v2,tr11_pod_v2,same_setup,6,6,6,6,30,9.590736405242746,10.39832537707019,-0.20540443170885325,-1.8256484015958385,0.8440831595996894,0.4,0.33164670850671446,0.375292144022985,-0.006993379020603097,-0.07324601392635699,0.04090211267561725,0.4,11.03074943118021,11.463864258774727,-0.14631547534764433,-1.65428286062434,0.8686630052943078,0.43333333333333335
self-supervised,tr11_pod_v2,tr11_2025_pod_v2,cross_setup,6,14,6,14,84,8.884218802657024,7.259130691440522,1.0000166918700486,-0.43857180582680877,2.488899133001574,0.6547619047619048,0.2735967922890261,0.23342967709492773,0.02833675836652691,-0.016032812084178314,0.07710520957800601,0.6547619047619048,17.409069768619194,12.37540479737433,3.098491750970333,-0.49507655043182197,8.06344409600801,0.6547619047619048
self-supervised,tr11_pod_v2,slayer_pod_v2,cross_setup,6,7,6,5,42,10.711388655281077,8.867546008779039,3.6828680539619594,-0.9425065103270382,7.327241200932838,0.7666666666666667,0.5558911487753366,0.4883082386344521,0.21332095870957124,-0.05514534568605911,0.3712006768406583,0.7666666666666667,11.485320880411564,13.398833742613762,-1.4654073149700366,-9.690551442823054,4.729916938549893,0.36666666666666664
self-supervised,tr11_2025_pod_v2,stumpjumper_pod_v2,cross_setup,14,11,14,11,154,35.555689384422635,3.814183491079863,31.74448249474242,28.38278787493855,35.62931258435166,1.0,1.668017550628862,0.1748420399352388,1.4943022097791143,1.3321988308647055,1.6774376157979187,1.0,59.63971058344991,4.625381742210358,55.18124109766977,45.01721159978514,63.35203439726905,1.0
self-supervised,tr11_2025_pod_v2,tr11_pod_v2,cross_setup,14,6,14,6,84,9.005994165684752,10.39832537707019,-0.909166288097317,-2.236176636377403,0.27245374963524327,0.2976190476190476,0.3260736635853432,0.375292144022985,-0.03817893537205455,-0.09248891074528186,0.012427921096426334,0.2976190476190476,11.798185976070886,11.463864258774727,1.1940526246729064,-2.0890421638672163,2.4253285291714306,0.6071428571428571
