trainer,setup,logs,independent_units,aligned_rmse_median,aligned_nrmse_std_median,anchored_rmse_median
self-supervised,stumpjumper_pod_v2,11,11,3.814183491079863,0.1748420399352388,4.625381742210358
self-supervised,tr11_pod_v2,6,6,10.39832537707019,0.375292144022985,11.463864258774727
self-supervised,tr11_2025_pod_v2,14,14,7.259130691440522,0.23342967709492773,12.37540479737433
self-supervised,slayer_pod_v2,7,5,8.867546008779039,0.4883082386344521,13.398833742613762
oracle-power,stumpjumper_pod_v2,11,11,2.7407985242924777,0.1293602225303282,2.7407985242924777
oracle-power,tr11_pod_v2,6,6,7.64931295199841,0.2784172328163354,7.64931295199841
oracle-power,tr11_2025_pod_v2,14,14,5.387170896263436,0.17443607845324796,5.387170896263436
oracle-power,slayer_pod_v2,7,5,4.024333989245821,0.2501849717192504,4.024333989245821
oracle-binned-median,stumpjumper_pod_v2,11,11,2.7093362400261785,0.1251569840558067,2.711623701420622
oracle-binned-median,tr11_pod_v2,6,6,7.393493264139542,0.2700851701170388,7.469729759967809
oracle-binned-median,tr11_2025_pod_v2,14,14,5.078559192059533,0.165017630642283,5.093382242883163
oracle-binned-median,slayer_pod_v2,7,5,3.5302474324008797,0.2036357129154532,3.547268487769003
