trainer,aligned_nrmse_std_source_median,aligned_rmse_source_median,anchored_rmse_source_median,pair_type,source_logs
self-supervised,0.23342967709492776,6.686531548648032,10.620396398655991,diagonal,38
self-supervised,0.4280429979282534,10.809309878634835,16.085031698210532,transfer,38
oracle-power,0.174436078453248,4.847403802605955,4.847403802605955,diagonal,38
oracle-power,0.38491091325188,10.29695795281372,23.548938968654035,transfer,38
oracle-binned-median,0.16501763064228303,4.258749282861372,4.272653777170039,diagonal,38
oracle-binned-median,0.34870786431451906,7.8160652202946626,22.88634740518353,transfer,38
