baseline_trainer,comparison,fraction_baseline_better,median_delta_mm,pairs,transfer_trainer
self-supervised,transfer minus target self-supervised diagonal,0.7532005689900427,2.7294074313467136,1406,self-supervised
oracle-power,transfer minus target oracle-power diagonal,1.0,4.762537562423372,1406,oracle-power
self-supervised,transfer minus target self-supervised diagonal,0.6216216216216216,2.1817826226137953,1406,oracle-power
oracle-binned-median,transfer minus target oracle-binned-median diagonal,0.9943100995732574,4.4983132268122485,1406,oracle-binned-median
self-supervised,transfer minus target self-supervised diagonal,0.5718349928876245,1.3476230086646601,1406,oracle-binned-median
