setup,logs,independent_units,mag_p05_median,mag_p95_median,mag_p90_span_median,travel_p05_median_mm,travel_p95_median_mm,travel_p90_span_median_mm
stumpjumper_pod_v2,11,11,530.3637293770593,5922.23455490357,5398.832747866517,13.43167994995099,85.6944701787818,74.60869177923493
tr11_pod_v2,6,6,1020.5790732048099,2174.0162823129167,1137.7012050355613,14.412678797954154,100.04023294953987,88.28092018708529
tr11_2025_pod_v2,14,14,1093.270927699792,4300.087090464991,3223.6532599167986,11.478925975270906,120.10064564397756,110.75919214643721
slayer_pod_v2,7,5,1325.4457788754924,3298.20303826296,1972.7572593874677,6.928282829948491,68.22725964225215,61.331416042690016
