setup,logs,independent_units,mag_p05_median,mag_p95_median,mag_p90_span_median,travel_p05_median_mm,travel_p95_median_mm,travel_p90_span_median_mm
stumpjumper_pod_v2,5,5,553.6915837519617,5922.23455490357,5398.832747866517,13.932913688538004,84.84822622691291,74.60869177923493
tr11_pod_v2,5,5,1012.0855532122756,2106.3897712808316,1095.3185242124339,13.810714768542873,98.54894647175115,90.04496377420742
tr11_2025_pod_v2,5,5,1077.1509554848224,4300.646370150396,3242.1644676085575,11.374638081027058,119.95924415241548,109.40878300777256
slayer_pod_v2,5,5,1337.6887746806713,3363.1952888744136,2012.7843375487234,6.928282829948491,68.25969887263851,61.331416042690016
