baseline_trainer,comparison,fraction_baseline_better,median_delta_mm,pairs,transfer_trainer
self-supervised,transfer minus target self-supervised diagonal,0.6921052631578948,2.4656378331947915,380,self-supervised
oracle-power,transfer minus target oracle-power diagonal,1.0,4.99883472621698,380,oracle-power
self-supervised,transfer minus target self-supervised diagonal,0.6210526315789474,2.2973197305478994,380,oracle-power
oracle-binned-median,transfer minus target oracle-binned-median diagonal,0.9921052631578947,4.5974266288657155,380,oracle-binned-median
self-supervised,transfer minus target self-supervised diagonal,0.5552631578947368,0.9104192022863442,380,oracle-binned-median
