trainer,aligned_nrmse_std_source_median,aligned_rmse_source_median,anchored_rmse_source_median,pair_type,source_logs
self-supervised,0.2047059074212776,4.577433164243044,8.163238973211618,diagonal,11
self-supervised,0.20839763946047718,4.798038760313265,7.780854561322885,transfer,11
oracle-power,0.13765796941826763,2.9965502749368844,2.9965502749368844,diagonal,11
oracle-power,0.15067533286156187,3.428535287985328,3.847009261280366,transfer,11
oracle-binned-median,0.1300940440638232,2.8816716023222795,2.8869346176149433,diagonal,11
oracle-binned-median,0.14406615655207758,3.2439080046195823,3.754946341292965,transfer,11
