setup,logs,independent_units,mag_p05_median,mag_p95_median,mag_p90_span_median,travel_p05_median_mm,travel_p95_median_mm,travel_p90_span_median_mm
stumpjumper_pod_v2,11,11,483.2793340032101,5188.586241765957,4758.2353814087655,10.631569714453406,84.82777429614688,76.12335534328501
tr11_pod_v2,6,6,1003.9432631250927,2130.569343527827,1099.3321311706195,13.144776264968783,98.49595187719008,87.97925486290552
tr11_2025_pod_v2,14,14,1078.9927912761177,4171.362497377882,3118.5278879155753,9.981733869743842,118.5528428135856,108.5631088957089
slayer_pod_v2,7,5,1327.4710894898233,3209.913468209835,1882.442378720012,7.634569399601527,66.43351696665971,59.841764297006954
