trial_id,pipeline,trainer,calibration_id,eval_cache_fingerprint,eval_log,experiment,pair_type,time_basis,train_cache_fingerprint,train_log
7df597e47b5294ce,front,self-supervised,7ef574fcc64bc491,65409094c0a8765302cc9ee22d9e63cfaf44ec5d6c380edf7bd5c133799b1ff2,log-0046,cross-setup-front-pod-v2-full-v4,diagonal,active,65409094c0a8765302cc9ee22d9e63cfaf44ec5d6c380edf7bd5c133799b1ff2,log-0046
4e8670432d5c5a74,front,self-supervised,7ef574fcc64bc491,751078f008d5e4dda420717eaf321b8775856b57e119377fa48b9d2022ccc47f,log-0048,cross-setup-front-pod-v2-full-v4,transfer,active,65409094c0a8765302cc9ee22d9e63cfaf44ec5d6c380edf7bd5c133799b1ff2,log-0046
28bec17d4353f4a3,front,self-supervised,7ef574fcc64bc491,3b3fe0d5816328e29a457fc293785786df6ad16211a245b938671901aa55f8cf,log-0049,cross-setup-front-pod-v2-full-v4,transfer,active,65409094c0a8765302cc9ee22d9e63cfaf44ec5d6c380edf7bd5c133799b1ff2,log-0046
f51b91338173b4d8,front,self-supervised,7ef574fcc64bc491,06a5dfa0fbb5c56b6dc857091bfad7672d993e384a09a2fb790c507d433470df,log-0054,cross-setup-front-pod-v2-full-v4,transfer,active,65409094c0a8765302cc9ee22d9e63cfaf44ec5d6c380edf7bd5c133799b1ff2,log-0046
8d59f689f2e52cec,front,self-supervised,7ef574fcc64bc491,4ed3294d28d60e2a514e7a834b55240d65bb12317b9d744ca21d06969512113f,log-0055,cross-setup-front-pod-v2-full-v4,transfer,active,65409094c0a8765302cc9ee22d9e63cfaf44ec5d6c380edf7bd5c133799b1ff2,log-0046
f188504b1f54dc49,front,self-supervised,7ef574fcc64bc491,2011be2fa99e50728f6753bb5d2793e8536d94d2bea425d80adf85925d3cc81f,log-0056,cross-setup-front-pod-v2-full-v4,transfer,active,65409094c0a8765302cc9ee22d9e63cfaf44ec5d6c380edf7bd5c133799b1ff2,log-0046
d1b64a958f8beae1,front,self-supervised,7ef574fcc64bc491,71f4de38aa47c34f84577a01b604df27aabe793695da3cd42096c96c4675330a,log-0058,cross-setup-front-pod-v2-full-v4,transfer,active,65409094c0a8765302cc9ee22d9e63cfaf44ec5d6c380edf7bd5c133799b1ff2,log-0046
40ff6695f623fbb9,front,self-supervised,7ef574fcc64bc491,616abc58e0001195b82f6888d70b3b6bf955ea9af268b90677be3315a0d67db5,log-0063,cross-setup-front-pod-v2-full-v4,transfer,active,65409094c0a8765302cc9ee22d9e63cfaf44ec5d6c380edf7bd5c133799b1ff2,log-0046
1e6231b2d4056779,front,self-supervised,7ef574fcc64bc491,5b43f1e6c1af12d91d82a233b6ac96c30733a1d14dbafbfec7b420a55a0572a2,log-0071_183,cross-setup-front-pod-v2-full-v4,transfer,active,65409094c0a8765302cc9ee22d9e63cfaf44ec5d6c380edf7bd5c133799b1ff2,log-0046
a5d7e02b71874ee5,front,self-supervised,7ef574fcc64bc491,1caedf1fe6f26fa4e717bbf0c4ff33354dde73dbc12747ce5d804657e28faac4,log-0072_184,cross-setup-front-pod-v2-full-v4,transfer,active,65409094c0a8765302cc9ee22d9e63cfaf44ec5d6c380edf7bd5c133799b1ff2,log-0046
