trainer,aligned_nrmse_std_source_median,aligned_rmse_source_median,anchored_rmse_source_median,pair_type,source_logs
self-supervised,0.23588809772547503,6.691417447086667,10.321298472474606,diagonal,38
self-supervised,0.4202358915777051,10.29502921126289,15.950974219328977,transfer,38
oracle-power,0.1671511813513175,4.933921322745762,4.933921322745762,diagonal,38
oracle-power,0.38482139887866496,10.289353499367543,23.710126116947837,transfer,38
oracle-binned-median,0.15890958446039422,4.309191021475115,4.332030646270592,diagonal,38
oracle-binned-median,0.36480796107365976,8.045018058286248,22.939461267325854,transfer,38
