trial_id,pipeline,log,repeat,duration_s,trainer,cache_fingerprint,center_s,experiment,fusion1,fusion2,nuisance,nuisance_applied_update_rms_mm,nuisance_correction_vector_rms_mg,nuisance_effective_state_hz,nuisance_final_iteration_change_mm,nuisance_full_rate,nuisance_proposed_update_rms_mm,nuisance_source_stride,nuisance_update_fraction,nuisance_xyz_bin_count,nuisance_xyz_scalar_center_mg,nuisance_xyz_scalar_scale_mg,source_run_fingerprint,source_trial_id,start_s,stop_s,time_basis,total
26b8b94bb96dfdc8,front,log-0046,0,5.0,self-supervised,58e373396f836700192dfa2fecb334bfa93af94ee8e7ff324185bd85f7bfe658,188.53424651313014,solver-window-front-phase2,4.562994374893606,5.271214250009507,1.101917542051524,1.6953561651488804,153.1491243641524,10.000000000009095,0.146837588273031,0.5597312920726836,2.260474886865174,10.0,0.5967400162999185,73.0,3957.366449914676,2192.0791356464033,5bea0f2a1a0f8859fae10f0677c4124e757b551e54e1576787804c52f37e14c2,27560ff01604e420,186.03424651313014,191.03424651313014,active,11.66031241696328
578f74cb2e58ea50,front,log-0046,0,10.0,self-supervised,58e373396f836700192dfa2fecb334bfa93af94ee8e7ff324185bd85f7bfe658,188.53424651313014,solver-window-front-phase2,5.6570521669927984,5.787498916964978,1.093628458911553,1.647485865669062,154.95607993025445,10.000000000009095,0.15543735648245594,0.5576241670642048,2.1966478208920828,10.0,0.5910350448247759,73.0,3957.366449914676,2192.0791356464033,5bea0f2a1a0f8859fae10f0677c4124e757b551e54e1576787804c52f37e14c2,38aeda6dc050b576,183.53424651313014,193.53424651313014,active,13.231534959049895
606674b7210845e0,front,log-0046,0,20.0,self-supervised,58e373396f836700192dfa2fecb334bfa93af94ee8e7ff324185bd85f7bfe658,188.53424651313014,solver-window-front-phase2,7.944004999939352,7.373823124915361,1.1010573338717222,1.8315608623117545,180.90472792938883,10.000000000009095,0.28275760532535227,0.5632817500736564,2.4420811497490056,10.0,0.5806030969845151,73.0,3957.366449914676,2192.0791356464033,5bea0f2a1a0f8859fae10f0677c4124e757b551e54e1576787804c52f37e14c2,05ee9b22d7ee6c63,178.53424651313014,198.53424651313014,active,17.116015166044235
e018c51f074b9de6,front,log-0046,0,40.0,self-supervised,58e373396f836700192dfa2fecb334bfa93af94ee8e7ff324185bd85f7bfe658,188.53424651313014,solver-window-front-phase2,8.160363958915696,7.530292500043288,1.097287958022207,2.8338314150058195,245.55477227082505,10.000000000009095,0.599675054271072,0.5641727079637349,3.7784418866744263,10.0,0.562999185004075,73.0,3957.366449914676,2192.0791356464033,5bea0f2a1a0f8859fae10f0677c4124e757b551e54e1576787804c52f37e14c2,85d72cdbec691071,168.53424651313014,208.53424651313014,active,17.487194125074893
9ee73425d8e60b2c,front,log-0046,0,120.0,self-supervised,58e373396f836700192dfa2fecb334bfa93af94ee8e7ff324185bd85f7bfe658,188.53424651313014,solver-window-front-phase2,7.968310125172138,8.247246500104666,1.110829000128433,3.0079301629531665,256.17336581581515,10.000000000009095,0.6486332464075224,0.5629902498330921,4.010573550604222,10.0,0.5600651996740016,73.0,3957.366449914676,2192.0791356464033,5bea0f2a1a0f8859fae10f0677c4124e757b551e54e1576787804c52f37e14c2,92996a708467cece,128.53424651313014,248.53424651313014,active,18.024654124863446
59df1236a920eb94,front,log-0046,1,5.0,self-supervised,58e373396f836700192dfa2fecb334bfa93af94ee8e7ff324185bd85f7bfe658,63.3127398897505,solver-window-front-phase2,6.718918458092958,6.930039041908458,1.1029889998026192,1.6688322031957938,170.94609050126095,10.000000000009095,0.23478199489943005,0.5620238329283893,2.2251096042610583,10.0,0.5848410757946211,73.0,3957.366449914676,2192.0791356464033,5bea0f2a1a0f8859fae10f0677c4124e757b551e54e1576787804c52f37e14c2,7b5770204ea7ff59,60.8127398897505,65.8127398897505,active,15.392779333982617
dce24c36211bd73e,front,log-0046,1,10.0,self-supervised,58e373396f836700192dfa2fecb334bfa93af94ee8e7ff324185bd85f7bfe658,63.3127398897505,solver-window-front-phase2,4.3698303329292685,3.854669624939561,1.103215582901612,1.4949361929102274,152.9582190258877,10.000000000009095,0.14870246580754706,0.6505209589377046,1.9932482572136367,10.0,0.5993480032599837,73.0,3957.366449914676,2192.0791356464033,5bea0f2a1a0f8859fae10f0677c4124e757b551e54e1576787804c52f37e14c2,96741428e1cab032,58.3127398897505,68.3127398897505,active,10.02693966589868
bfbca3739f45fcad,front,log-0046,1,20.0,self-supervised,58e373396f836700192dfa2fecb334bfa93af94ee8e7ff324185bd85f7bfe658,63.3127398897505,solver-window-front-phase2,4.797382625052705,5.826493249973282,1.2791422919835895,1.7146748754678665,153.0655902063834,10.000000000009095,0.1764107495437727,0.5842682500369847,2.2862331672904888,10.0,0.5986960065199673,73.0,3957.366449914676,2192.0791356464033,5bea0f2a1a0f8859fae10f0677c4124e757b551e54e1576787804c52f37e14c2,cbde1076118673f6,53.3127398897505,73.3127398897505,active,12.544057375052944
b1d8b075c1e0e5b7,front,log-0046,1,40.0,self-supervised,58e373396f836700192dfa2fecb334bfa93af94ee8e7ff324185bd85f7bfe658,63.3127398897505,solver-window-front-phase2,7.863614249974489,8.077037625014782,1.12414904194884,3.0814240948905867,266.5906929413646,10.000000000009095,0.6970190038883198,0.565140999853611,4.108565459854115,10.0,0.5594132029339853,73.0,3957.366449914676,2192.0791356464033,5bea0f2a1a0f8859fae10f0677c4124e757b551e54e1576787804c52f37e14c2,78cbb5006dc9cb38,43.3127398897505,83.3127398897505,active,17.686904875095934
2b01fb7935f3d222,front,log-0046,1,120.0,self-supervised,58e373396f836700192dfa2fecb334bfa93af94ee8e7ff324185bd85f7bfe658,63.3127398897505,solver-window-front-phase2,8.714636666001752,8.496781000168994,1.1899586669169366,2.8063803203967455,251.92731226638685,10.000000000009095,0.6113216563482241,0.6432729579973966,3.741840427195661,10.0,0.5616951915240423,73.0,3957.366449914676,2192.0791356464033,5bea0f2a1a0f8859fae10f0677c4124e757b551e54e1576787804c52f37e14c2,e87a69fa749fab61,3.312739889750503,123.3127398897505,active,19.09992887498811
