duration_s,evaluation_scope,aligned_mse_improvement_vs_mag_median,aligned_nrmse_std_median,aligned_rmse_median,anchored_rmse_median,bin0_fixed_mean_error_median,bin0_fixed_rmse_median,bin0_fixed_rmse_mse_improvement_vs_mag_median,fixed_aligned_rmse_median,n_logs,n_trials,stage
5.0,common_core,nan,0.18626713449555665,3.169771156979328,8.62600264672244,1.1228468325365677,4.6258597895713525,nan,4.061713650291347,11,44,mag_model
5.0,full_log,nan,0.19884943277221656,5.1008414104726665,9.709531019662563,4.6769394000959545,7.79857069823329,nan,5.1008414104726665,11,44,mag_model
5.0,full_log_excluding_training,nan,0.19889013679071937,5.118001565219468,9.710721942211043,4.68016547382292,7.807464907402689,nan,5.119881383323849,11,44,mag_model
5.0,training_window,nan,0.18626713449555665,3.169771156979328,8.62600264672244,1.1228468325365677,4.6258597895713525,nan,4.061713650291347,11,44,mag_model
5.0,common_core,0.6930335765183258,0.20241645810723038,3.4258985265706468,8.551008430703433,1.937859113225095,5.219291769641237,3.6823295048305873,3.616292970927811,11,44,fusion1
5.0,full_log,1.1133114729748677,0.1982720634409682,4.8675506062057465,9.034030158692381,4.728735757076807,7.987566173090684,1.9660362470468726,4.8675506062057465,11,44,fusion1
5.0,full_log_excluding_training,1.1387111785954005,0.19859630312420656,4.852365091060253,9.035464984338333,4.749655756931308,8.084060039645435,1.9230540019313942,4.852370217914713,11,44,fusion1
5.0,training_window,0.6930335765183258,0.20241645810723038,3.4258985265706468,8.551008430703433,1.937859113225095,5.219291769641237,3.6823295048305873,3.616292970927811,11,44,fusion1
5.0,common_core,0.9982351561935436,0.18481577583223624,3.238805131096388,8.310417593519915,1.554035097490496,4.987394395069016,3.454401035614013,3.8655559791174112,11,44,nuisance_delta_lifted
5.0,full_log,2.6702276827917473,0.1863427191214388,4.646520740690365,9.08909996006783,4.3005467428782325,7.041933092555141,12.419553950378617,4.646520740690365,11,44,nuisance_delta_lifted
5.0,full_log_excluding_training,2.669009563384697,0.18635914669362197,4.607336278400888,9.085028172852692,4.457702821683004,6.997127942496951,12.448762970505818,4.607516583725987,11,44,nuisance_delta_lifted
5.0,training_window,0.9982351561935436,0.18481577583223624,3.238805131096388,8.310417593519915,1.554035097490496,4.987394395069016,3.454401035614013,3.8655559791174112,11,44,nuisance_delta_lifted
5.0,common_core,0.47660544789394077,0.1871446719945481,3.1044859918418286,8.47233681072595,1.740680040366728,4.88809357679329,2.240504037885998,3.7211403957726166,11,44,nuisance_corrected_mag
5.0,full_log,2.188196351292577,0.1860318335841603,4.668418995977898,9.120256499246706,3.93416616972632,7.099628162531669,12.395505878058621,4.668418995977898,11,44,nuisance_corrected_mag
5.0,full_log_excluding_training,2.1787662730343573,0.18598319992932913,4.632873522300274,9.117297948887977,4.093007670159584,7.033475510265834,12.56058986134267,4.633055581637285,11,44,nuisance_corrected_mag
5.0,training_window,0.47660544789394077,0.1871446719945481,3.1044859918418286,8.47233681072595,1.740680040366728,4.88809357679329,2.240504037885998,3.7211403957726166,11,44,nuisance_corrected_mag
5.0,common_core,0.9335198026848914,0.18548232897553263,3.341137142874056,8.235117897179913,2.2444196012149416,4.395371494975198,4.7875663512290245,3.512954494250108,11,44,solved
5.0,full_log,3.0063795727102143,0.18840371989608132,4.519612582543372,8.928410370308349,4.570513729058646,7.368187610627791,12.019149746704866,4.519612582543372,11,44,solved
5.0,full_log_excluding_training,3.0379574878451843,0.18842967823332574,4.508902469682477,8.927085484668714,4.591046956022129,7.308467399491354,12.12148991010216,4.508915050442686,11,44,solved
5.0,training_window,0.9335198026848914,0.18548232897553263,3.341137142874056,8.235117897179913,2.2444196012149416,4.395371494975198,4.7875663512290245,3.512954494250108,11,44,solved
10.0,common_core,nan,0.17313278797843892,3.2915787132844967,8.210521862276236,0.8232903697488276,4.853305069847048,nan,3.764531600307583,11,44,mag_model
10.0,full_log,nan,0.21089018452502975,4.388724724510105,8.806976828442043,3.5593651873543872,7.188527449549536,nan,4.388724724510105,11,44,mag_model
10.0,full_log_excluding_training,nan,0.2106935723287215,4.39780334324891,8.827011032231848,3.4414616302996124,6.997855512692344,nan,4.398109444009027,11,44,mag_model
10.0,training_window,nan,0.17549026047451594,3.634629579822911,8.218825340475721,1.6580225401546391,5.135893955651488,nan,4.030060223721727,11,44,mag_model
10.0,common_core,-0.6556225390343902,0.1970770604817945,3.5955838605724546,8.041141887701134,1.7728836592067512,5.158673050668908,0.4851101833572349,3.7388037495671753,11,44,fusion1
10.0,full_log,0.08503426796999847,0.21342395121940233,4.5128203454982065,8.61758799607171,4.400397350825399,7.055639368619701,0.22872107194915614,4.5128203454982065,11,44,fusion1
10.0,full_log_excluding_training,0.0855848014578342,0.2142129014208819,4.554052820013017,8.623777567554349,4.521440330083049,6.865606670764029,1.1610801007192144,4.554077091332353,11,44,fusion1
10.0,training_window,0.14296456277152458,0.18142493180691818,3.5715466489211076,8.162967210705865,1.6896093912143744,4.981178633581906,0.2375030417550903,3.593144187228927,11,44,fusion1
10.0,common_core,0.2620383324524749,0.17088200381417473,3.444269435988934,8.090400568478012,2.1578492714098587,4.734288362761763,4.235936444250008,3.5981976469212973,11,44,nuisance_delta_lifted
10.0,full_log,2.470439582830627,0.19382334168228096,4.11487946698618,8.461989580875557,3.9131776260265325,6.1198860698276505,10.987021131302923,4.11487946698618,11,44,nuisance_delta_lifted
10.0,full_log_excluding_training,2.168785582393655,0.19406563794293077,4.121989761711754,8.470647668316055,4.002108540361046,6.092978402074159,10.997221236111573,4.122124954604612,11,44,nuisance_delta_lifted
10.0,training_window,0.2579569043078842,0.17710112616396442,3.4885513406390913,8.200786173010215,2.0363293072300492,4.695757334262663,8.154269446537754,3.7469757627992055,11,44,nuisance_delta_lifted
10.0,common_core,0.6723972380035397,0.1709625237177944,3.1899653381499293,8.205955522129823,1.5481183170206263,4.726473122349183,5.08957929542168,3.569127513235599,11,44,nuisance_corrected_mag
10.0,full_log,2.1019978144842426,0.19482823706602012,4.029000254378697,8.494226045398918,3.3495670909369712,5.734684370857167,12.47087927513862,4.029000254378697,11,44,nuisance_corrected_mag
10.0,full_log_excluding_training,2.0391227006507364,0.19506693691890487,4.061550157767565,8.506862307761821,3.439912054116967,5.7303520858786445,12.646009176005416,4.0615748892621895,11,44,nuisance_corrected_mag
