aligned_nrmse_std_log_median,aligned_rmse_log_median,anchored_rmse_log_median,duration_s,evaluation_scope,failure_rate,fixed_aligned_rmse_log_median,n_logs,prediction_to_travel_std_log_median,run,trainer,training_observations_log_median,travel_range_log_median,travel_std_log_median
0.1868603587010489,4.385905286299303,4.749473604943742,1.0,full_log,0.0,4.385905286299303,11.0,0.9875393968147674,random-window-front-v1-shorter,oracle-power,97.5,149.90437255734173,22.524702380028554
0.18715497665098596,4.391300929758437,4.756613225008035,1.0,full_log_excluding_training,0.0,4.391307735990239,11.0,0.9875305123630902,random-window-front-v1-shorter,oracle-power,97.5,149.90437255734173,22.527058952750163
0.08659919676713025,1.4054301508103708,1.4054301508103708,1.0,training_window,0.0,2.741641813203901,11.0,0.9962398234566284,random-window-front-v1-shorter,oracle-power,97.5,56.802346261178016,14.558207267403503
0.17560590299659262,3.9554707011744137,4.458290400287471,2.0,full_log,0.0,3.9554707011744137,11.0,0.9924253472424089,random-window-front-v1-shorter,oracle-power,195.0,149.90437255734173,22.524702380028554
0.17627239626292945,3.9604090904262823,4.464966364501361,2.0,full_log_excluding_training,0.0,3.9604277467823525,11.0,0.9924801347159915,random-window-front-v1-shorter,oracle-power,195.0,149.90437255734173,22.517656015060602
0.0965612944064158,1.536399098844559,1.536399098844559,2.0,training_window,0.0,2.5648071273538458,11.0,0.9952932522068378,random-window-front-v1-shorter,oracle-power,195.0,70.13976486404539,16.993911686558082
0.171968281778223,3.8707898890495,4.113749673315883,3.0,full_log,0.0,3.8707898890495,11.0,0.9957700600182365,random-window-front-v1-shorter,oracle-power,293.0,149.90437255734173,22.524702380028554
0.1721517325905111,3.88294839940315,4.121423740375423,3.0,full_log_excluding_training,0.0,3.882949935018088,11.0,0.9956933093677627,random-window-front-v1-shorter,oracle-power,293.0,149.90437255734173,22.519638692607437
0.1003001252855106,1.6420978636594068,1.642097863667586,3.0,training_window,0.0,2.455029151215856,11.0,0.9949436179289115,random-window-front-v1-shorter,oracle-power,293.0,81.43901884284485,17.637939237046968
0.16405557040406257,3.6814351378322647,4.061253779201516,4.0,full_log,0.0,3.6814351378322647,11.0,0.9802320611332199,random-window-front-v1-shorter,oracle-power,390.0,149.90437255734173,22.524702380028554
