duration_s,evaluation_scope,metric,n_logs,run,setup,trainer,value
1.0,training_window,aligned_nrmse_std,11,random-window-front-v2,stumpjumper-pod-v2,oracle-power,0.09237452885849601
1.0,training_window,fixed_aligned_rmse,11,random-window-front-v2,stumpjumper-pod-v2,oracle-power,3.159882616353141
1.0,training_window,aligned_rmse,6,random-window-front-v2,tr11-pod-v2,oracle-power,2.5200646249161966
1.0,training_window,aligned_nrmse_std,6,random-window-front-v2,tr11-pod-v2,oracle-power,0.11126620635218748
1.0,training_window,fixed_aligned_rmse,6,random-window-front-v2,tr11-pod-v2,oracle-power,6.49065040774712
10.0,training_window,aligned_rmse,7,random-window-front-v2,stumpjumper-pod-v1,oracle-power,3.4183737432266046
10.0,training_window,aligned_nrmse_std,7,random-window-front-v2,stumpjumper-pod-v1,oracle-power,0.1653381109120579
10.0,training_window,fixed_aligned_rmse,7,random-window-front-v2,stumpjumper-pod-v1,oracle-power,3.7984058994181877
10.0,training_window,aligned_rmse,11,random-window-front-v2,stumpjumper-pod-v2,oracle-power,2.205256560177034
10.0,training_window,aligned_nrmse_std,11,random-window-front-v2,stumpjumper-pod-v2,oracle-power,0.1118974324420043
10.0,training_window,fixed_aligned_rmse,11,random-window-front-v2,stumpjumper-pod-v2,oracle-power,2.478035501536982
10.0,training_window,aligned_rmse,6,random-window-front-v2,tr11-pod-v2,oracle-power,5.335718052081744
10.0,training_window,aligned_nrmse_std,6,random-window-front-v2,tr11-pod-v2,oracle-power,0.22304359125443662
10.0,training_window,fixed_aligned_rmse,6,random-window-front-v2,tr11-pod-v2,oracle-power,7.592746977014288
2.0,training_window,aligned_rmse,7,random-window-front-v2,stumpjumper-pod-v1,oracle-power,2.728036090744468
2.0,training_window,aligned_nrmse_std,7,random-window-front-v2,stumpjumper-pod-v1,oracle-power,0.15279679362267345
2.0,training_window,fixed_aligned_rmse,7,random-window-front-v2,stumpjumper-pod-v1,oracle-power,3.531921424740227
2.0,training_window,aligned_rmse,11,random-window-front-v2,stumpjumper-pod-v2,oracle-power,1.5487418640737998
2.0,training_window,aligned_nrmse_std,11,random-window-front-v2,stumpjumper-pod-v2,oracle-power,0.09470385708623492
2.0,training_window,fixed_aligned_rmse,11,random-window-front-v2,stumpjumper-pod-v2,oracle-power,2.4939930401185566
2.0,training_window,aligned_rmse,6,random-window-front-v2,tr11-pod-v2,oracle-power,2.9995033117878718
2.0,training_window,aligned_nrmse_std,6,random-window-front-v2,tr11-pod-v2,oracle-power,0.13555106340919904
2.0,training_window,fixed_aligned_rmse,6,random-window-front-v2,tr11-pod-v2,oracle-power,7.372239544638182
40.0,training_window,aligned_rmse,7,random-window-front-v2,stumpjumper-pod-v1,oracle-power,3.3475876813190606
40.0,training_window,aligned_nrmse_std,7,random-window-front-v2,stumpjumper-pod-v1,oracle-power,0.17031993737269457
40.0,training_window,fixed_aligned_rmse,7,random-window-front-v2,stumpjumper-pod-v1,oracle-power,4.095242874874388
40.0,training_window,aligned_rmse,11,random-window-front-v2,stumpjumper-pod-v2,oracle-power,2.445909808562284
40.0,training_window,aligned_nrmse_std,11,random-window-front-v2,stumpjumper-pod-v2,oracle-power,0.11470954137202627
40.0,training_window,fixed_aligned_rmse,11,random-window-front-v2,stumpjumper-pod-v2,oracle-power,2.730608945356848
40.0,training_window,aligned_rmse,6,random-window-front-v2,tr11-pod-v2,oracle-power,6.423852465070143
40.0,training_window,aligned_nrmse_std,6,random-window-front-v2,tr11-pod-v2,oracle-power,0.2857995629185604
40.0,training_window,fixed_aligned_rmse,6,random-window-front-v2,tr11-pod-v2,oracle-power,7.070710669368641
5.0,training_window,aligned_rmse,7,random-window-front-v2,stumpjumper-pod-v1,oracle-power,3.1177766324323466
5.0,training_window,aligned_nrmse_std,7,random-window-front-v2,stumpjumper-pod-v1,oracle-power,0.1564864682161079
5.0,training_window,fixed_aligned_rmse,7,random-window-front-v2,stumpjumper-pod-v1,oracle-power,4.136980029105705
5.0,training_window,aligned_rmse,11,random-window-front-v2,stumpjumper-pod-v2,oracle-power,1.9033155183768091
5.0,training_window,aligned_nrmse_std,11,random-window-front-v2,stumpjumper-pod-v2,oracle-power,0.10856224946206572
5.0,training_window,fixed_aligned_rmse,11,random-window-front-v2,stumpjumper-pod-v2,oracle-power,2.465826461337118
5.0,training_window,aligned_rmse,6,random-window-front-v2,tr11-pod-v2,oracle-power,4.384930949715979
5.0,training_window,aligned_nrmse_std,6,random-window-front-v2,tr11-pod-v2,oracle-power,0.18798173347301855
5.0,training_window,fixed_aligned_rmse,6,random-window-front-v2,tr11-pod-v2,oracle-power,7.613390397078959
1.0,full_log,aligned_rmse,7,random-window-front-v2,stumpjumper-pod-v1,self-supervised,8.51529748505935
1.0,full_log,aligned_nrmse_std,7,random-window-front-v2,stumpjumper-pod-v1,self-supervised,0.37841764957019774
1.0,full_log,fixed_aligned_rmse,7,random-window-front-v2,stumpjumper-pod-v1,self-supervised,8.51529748505935
1.0,full_log,aligned_rmse,11,random-window-front-v2,stumpjumper-pod-v2,self-supervised,7.4859805550449
1.0,full_log,aligned_nrmse_std,11,random-window-front-v2,stumpjumper-pod-v2,self-supervised,0.3246329694259657
1.0,full_log,fixed_aligned_rmse,11,random-window-front-v2,stumpjumper-pod-v2,self-supervised,7.4859805550449
1.0,full_log,aligned_rmse,6,random-window-front-v2,tr11-pod-v2,self-supervised,9.68298077406266
1.0,full_log,aligned_nrmse_std,6,random-window-front-v2,tr11-pod-v2,self-supervised,0.41734897852337316
1.0,full_log,fixed_aligned_rmse,6,random-window-front-v2,tr11-pod-v2,self-supervised,9.68298077406266
10.0,full_log,aligned_rmse,7,random-window-front-v2,stumpjumper-pod-v1,self-supervised,5.942708441793283
10.0,full_log,aligned_nrmse_std,7,random-window-front-v2,stumpjumper-pod-v1,self-supervised,0.2587359045333892
10.0,full_log,fixed_aligned_rmse,7,random-window-front-v2,stumpjumper-pod-v1,self-supervised,5.942708441793283
10.0,full_log,aligned_rmse,11,random-window-front-v2,stumpjumper-pod-v2,self-supervised,4.258575803864697
10.0,full_log,aligned_nrmse_std,11,random-window-front-v2,stumpjumper-pod-v2,self-supervised,0.18201712801155484
10.0,full_log,fixed_aligned_rmse,11,random-window-front-v2,stumpjumper-pod-v2,self-supervised,4.258575803864697
10.0,full_log,aligned_rmse,6,random-window-front-v2,tr11-pod-v2,self-supervised,8.45381386982236
10.0,full_log,aligned_nrmse_std,6,random-window-front-v2,tr11-pod-v2,self-supervised,0.30335316025373105
10.0,full_log,fixed_aligned_rmse,6,random-window-front-v2,tr11-pod-v2,self-supervised,8.45381386982236
2.0,full_log,aligned_rmse,7,random-window-front-v2,stumpjumper-pod-v1,self-supervised,7.206491334568545
2.0,full_log,aligned_nrmse_std,7,random-window-front-v2,stumpjumper-pod-v1,self-supervised,0.32491075809842523
2.0,full_log,fixed_aligned_rmse,7,random-window-front-v2,stumpjumper-pod-v1,self-supervised,7.206491334568545
2.0,full_log,aligned_rmse,11,random-window-front-v2,stumpjumper-pod-v2,self-supervised,5.737284267460284
2.0,full_log,aligned_nrmse_std,11,random-window-front-v2,stumpjumper-pod-v2,self-supervised,0.2570059128192585
2.0,full_log,fixed_aligned_rmse,11,random-window-front-v2,stumpjumper-pod-v2,self-supervised,5.737284267460284
2.0,full_log,aligned_rmse,6,random-window-front-v2,tr11-pod-v2,self-supervised,9.36399817167073
2.0,full_log,aligned_nrmse_std,6,random-window-front-v2,tr11-pod-v2,self-supervised,0.3640102379359703
2.0,full_log,fixed_aligned_rmse,6,random-window-front-v2,tr11-pod-v2,self-supervised,9.36399817167073
40.0,full_log,aligned_rmse,7,random-window-front-v2,stumpjumper-pod-v1,self-supervised,6.022904864314611
40.0,full_log,aligned_nrmse_std,7,random-window-front-v2,stumpjumper-pod-v1,self-supervised,0.25572306380745147
40.0,full_log,fixed_aligned_rmse,7,random-window-front-v2,stumpjumper-pod-v1,self-supervised,6.022904864314611
40.0,full_log,aligned_rmse,11,random-window-front-v2,stumpjumper-pod-v2,self-supervised,3.83185181919564
40.0,full_log,aligned_nrmse_std,11,random-window-front-v2,stumpjumper-pod-v2,self-supervised,0.17609629959863274
40.0,full_log,fixed_aligned_rmse,11,random-window-front-v2,stumpjumper-pod-v2,self-supervised,3.83185181919564
40.0,full_log,aligned_rmse,6,random-window-front-v2,tr11-pod-v2,self-supervised,8.648210567694113
40.0,full_log,aligned_nrmse_std,6,random-window-front-v2,tr11-pod-v2,self-supervised,0.3123329109045234
40.0,full_log,fixed_aligned_rmse,6,random-window-front-v2,tr11-pod-v2,self-supervised,8.648210567694113
5.0,full_log,aligned_rmse,7,random-window-front-v2,stumpjumper-pod-v1,self-supervised,6.563276498544943
5.0,full_log,aligned_nrmse_std,7,random-window-front-v2,stumpjumper-pod-v1,self-supervised,0.2959108730933467
5.0,full_log,fixed_aligned_rmse,7,random-window-front-v2,stumpjumper-pod-v1,self-supervised,6.563276498544943
5.0,full_log,aligned_rmse,11,random-window-front-v2,stumpjumper-pod-v2,self-supervised,4.67113474893215
5.0,full_log,aligned_nrmse_std,11,random-window-front-v2,stumpjumper-pod-v2,self-supervised,0.2160864776696669
5.0,full_log,fixed_aligned_rmse,11,random-window-front-v2,stumpjumper-pod-v2,self-supervised,4.67113474893215
5.0,full_log,aligned_rmse,6,random-window-front-v2,tr11-pod-v2,self-supervised,8.378167565108289
5.0,full_log,aligned_nrmse_std,6,random-window-front-v2,tr11-pod-v2,self-supervised,0.30088482578023257
5.0,full_log,fixed_aligned_rmse,6,random-window-front-v2,tr11-pod-v2,self-supervised,8.378167565108289
1.0,training_window,aligned_rmse,7,random-window-front-v2,stumpjumper-pod-v1,self-supervised,5.7786742812634335
1.0,training_window,aligned_nrmse_std,7,random-window-front-v2,stumpjumper-pod-v1,self-supervised,0.25088157249439225
1.0,training_window,fixed_aligned_rmse,7,random-window-front-v2,stumpjumper-pod-v1,self-supervised,5.987743006739418
1.0,training_window,aligned_rmse,11,random-window-front-v2,stumpjumper-pod-v2,self-supervised,4.2351237969713225
1.0,training_window,aligned_nrmse_std,11,random-window-front-v2,stumpjumper-pod-v2,self-supervised,0.23174723022725635
1.0,training_window,fixed_aligned_rmse,11,random-window-front-v2,stumpjumper-pod-v2,self-supervised,4.8468050769263495
1.0,training_window,aligned_rmse,6,random-window-front-v2,tr11-pod-v2,self-supervised,6.176414211158281
1.0,training_window,aligned_nrmse_std,6,random-window-front-v2,tr11-pod-v2,self-supervised,0.28923851046566895
1.0,training_window,fixed_aligned_rmse,6,random-window-front-v2,tr11-pod-v2,self-supervised,7.852126534545792
10.0,training_window,aligned_rmse,7,random-window-front-v2,stumpjumper-pod-v1,self-supervised,4.263023726495343
