baseline_trainer,comparison,fraction_baseline_better,median_delta_mm,pairs,transfer_trainer
self-supervised,transfer minus target self-supervised diagonal,0.7409420289855072,0.9056576855697562,552,self-supervised
oracle-power,transfer minus target oracle-power diagonal,0.9927536231884058,1.1301206611392065,552,oracle-power
self-supervised,transfer minus target self-supervised diagonal,0.5797101449275363,0.2565570118680096,552,oracle-power
oracle-binned-median,transfer minus target oracle-binned-median diagonal,0.9836956521739131,1.3058330553466913,552,oracle-binned-median
self-supervised,transfer minus target self-supervised diagonal,0.5778985507246377,0.26477234778242353,552,oracle-binned-median
