setup,logs,mag_p05_median,mag_p95_median,mag_p90_span_median,travel_p05_median_mm,travel_p95_median_mm,travel_p90_span_median_mm
stumpjumper_pod_v1,7,626.4951640309209,6798.938004678263,6139.413830082711,9.84815835267687,89.07362469350291,79.44845887883525
stumpjumper_pod_v2,11,511.5967126659763,5567.201754169939,5063.288729066828,9.590653553449163,85.41108088391172,77.70004930488071
tr11_pod_v2,6,1015.2567921358011,2127.0464373842224,1154.232585279255,13.396936839519853,98.79102369881704,89.0782230129463
