trainer,aligned_nrmse_std_source_median,aligned_rmse_source_median,anchored_rmse_source_median,pair_type,source_logs
self-supervised,0.2389456445027057,5.131858987003705,11.126105861729517,diagonal,24
self-supervised,0.25600655768924674,5.391840729391857,12.060088754638928,transfer,24
oracle-power,0.16666480440175052,3.763159105432999,3.763159105433,diagonal,24
oracle-power,0.19955586078211657,4.531072872219304,6.242908353474281,transfer,24
oracle-binned-median,0.16407779260475008,3.6915619190495694,3.7105111988154764,diagonal,24
oracle-binned-median,0.19415579139717795,4.420260876343583,6.225535924224243,transfer,24
