trainer,train_setup,eval_setup,transfer_type,source_logs,target_logs,pairs,aligned_rmse_transfer_median,aligned_rmse_target_diagonal_median,aligned_rmse_delta_median,aligned_rmse_delta_ci_low,aligned_rmse_delta_ci_high,aligned_rmse_fraction_worse,aligned_nrmse_std_transfer_median,aligned_nrmse_std_target_diagonal_median,aligned_nrmse_std_delta_median,aligned_nrmse_std_delta_ci_low,aligned_nrmse_std_delta_ci_high,aligned_nrmse_std_fraction_worse,anchored_rmse_transfer_median,anchored_rmse_target_diagonal_median,anchored_rmse_delta_median,anchored_rmse_delta_ci_low,anchored_rmse_delta_ci_high,anchored_rmse_fraction_worse
self-supervised,stumpjumper_pod_v1,stumpjumper_pod_v1,same_setup,7,7,42,5.815675823235134,5.7717370303969435,0.31192641568897495,-0.22513538568854852,0.6608038600658217,0.7142857142857143,0.2542719420555649,0.2512920860775012,0.014381001279328454,-0.009549901129608407,0.0402395460929844,0.7142857142857143,11.826375929416312,12.062663438779214,-0.541609160654049,-2.930207271164841,2.0223992640033512,0.4523809523809524
self-supervised,stumpjumper_pod_v1,stumpjumper_pod_v2,cross_setup,7,11,77,4.46262430136909,4.577433164243044,-0.0463780341822746,-0.9041370044295545,0.522419540590616,0.36363636363636365,0.1988460051348554,0.2047059074212776,-0.002051586655599791,-0.0398477306071468,0.011942440173218105,0.36363636363636365,8.249249688414857,8.163238973211618,-0.11680043596062095,-1.6940987601757627,0.8827141741452893,0.4805194805194805
self-supervised,stumpjumper_pod_v1,tr11_pod_v2,cross_setup,7,6,42,19.473225225353637,10.32667214584152,9.748018849557614,2.7044185475944715,12.69223742950198,0.9761904761904762,0.7272443711496139,0.3698382401279444,0.349539170302519,0.13286946731618254,0.4421943267284423,0.9761904761904762,40.33789034634955,15.970771253199393,25.63875012747434,11.882540222963193,36.26599521876305,1.0
self-supervised,stumpjumper_pod_v2,stumpjumper_pod_v1,cross_setup,11,7,77,6.161562662340324,5.7717370303969435,0.2956667895220537,0.03623934292747499,1.0059253550187757,0.8571428571428571,0.2682644629792248,0.2512920860775012,0.012872853342336787,0.0005958478837218562,0.04102455757928547,0.8571428571428571,13.079734823077183,12.062663438779214,0.15841286405487054,-2.1932587065644107,3.038104751553327,0.5324675324675324
self-supervised,stumpjumper_pod_v2,stumpjumper_pod_v2,same_setup,11,11,110,4.798038760313265,4.577433164243044,0.14139775166737056,-0.4227726141174286,0.6524852738630933,0.5363636363636364,0.20839763946047715,0.2047059074212776,0.006141023822152952,-0.019931748806393312,0.02771643600100071,0.5363636363636364,7.780854561322885,8.163238973211618,-0.1416487485719493,-1.3953713229021876,0.83759084197699,0.4909090909090909
self-supervised,stumpjumper_pod_v2,tr11_pod_v2,cross_setup,11,6,66,19.867751868988886,10.32667214584152,10.167479353970482,3.0392846313819666,13.10035901250464,0.9848484848484849,0.746068014455257,0.3698382401279444,0.36458467851550536,0.14954428260397468,0.4591352628357894,0.9848484848484849,40.9638072275406,15.970771253199393,26.264667008665377,12.130271257411758,36.722663854460464,1.0
self-supervised,tr11_pod_v2,stumpjumper_pod_v1,cross_setup,6,7,42,40.18119467924221,5.7717370303969435,35.67189713230954,33.92209432500029,42.62411171415856,1.0,1.7765897637753678,0.2512920860775012,1.566854448665789,1.4786679981148587,1.9127472478469196,1.0,61.29790539204526,12.062663438779214,47.239856584475326,38.70133759249492,75.34537421064131,1.0
self-supervised,tr11_pod_v2,stumpjumper_pod_v2,cross_setup,6,11,66,41.178173566823524,4.577433164243044,36.271230191579015,34.09244239082726,45.579977626299126,1.0,1.826463277849545,0.2047059074212776,1.6163526275897873,1.5536865375908682,2.0170548997681896,1.0,66.83785432461349,8.163238973211618,58.67461535140187,52.503598437875105,87.5883225990961,1.0
self-supervised,tr11_pod_v2,tr11_pod_v2,same_setup,6,6,30,9.06343978036273,10.32667214584152,-0.1809019973877004,-1.826417469529626,1.5067391989472285,0.4,0.3257462244337595,0.3698382401279444,-0.0065753973986222986,-0.06575592726150911,0.06650389084240053,0.4,14.802956389550456,15.970771253199393,0.0800841616396113,-2.4052753271915837,1.199513004515694,0.5
oracle-power,stumpjumper_pod_v1,stumpjumper_pod_v1,same_setup,7,7,42,5.840829248125553,5.424650603471327,0.4340106911677939,0.08990004960097453,0.8035670623300035,1.0,0.2584084166672991,0.2391267276646016,0.019250501256710878,0.004051944248907091,0.03744940244871231,1.0,6.037441393309131,5.424650603471328,0.8569474189169592,0.4805424597844077,4.115583951773568,1.0
